Date,Height,Ch  22.234,Ch  22.500,Ch  23.034,Ch  23.834,Ch  25.000,Ch  26.234,Ch  28.000,Ch  30.000,Ch  51.248,Ch  51.760,Ch  52.280,Ch  52.804,Ch  53.336,Ch  53.848,Ch  54.400,Ch  54.940,Ch  55.500,Ch  56.020,Ch  56.660,Ch  57.288,Ch  57.964,Ch  58.800,Pressure,Temp,RH
01-06-2011,0.1,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,NaN,NaN,NaN
,0.2,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,NaN,NaN,NaN
,0.3,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,NaN,NaN,NaN
,0.4,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,952.37,298.87,74.49
,0.5,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,941.68,297.97,74.69
,0.6,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,930.93,297.25,78.21
,0.7,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,920.37,298.45,70.38
,0.8,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,909.99,298.37,63.02
,0.9,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,899.72,297.59,65.96
,1,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,889.55,297.15,67.2
,1.1,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,879.46,296.45,69.34
,1.2,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,869.39,295.85,67.69
,1.3,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,859.49,295.55,68.1
,1.4,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,849.66,294.65,65.8
,1.5,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,840.04,293.75,69.47
,1.6,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,830.38,293.25,71
,1.7,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,820.83,292.65,70.59
,1.8,99.75,99.483,95.06,78.033,61.553,50.153,41.563,40.042,129.465,146.142,167.713,197.229,231.037,262.309,283.822,292.509,296.069,296.756,297.818,298.304,298.298,298.11,811.29,292.33,79
